test,itlb,dtlb,stlb
1,125,362,174
2,127,354,170
3,120,357,172
4,129,362,171
5,141,374,184
6,121,356,171
7,141,362,171
8,121,362,171
9,124,366,173
10,138,352,171
11,121,358,168
12,130,366,178
13,129,360,170
14,125,368,171
15,122,354,170
16,128,358,169
17,123,362,171
18,140,354,169
19,129,363,178
20,127,354,170
21,129,369,178
22,120,364,170
23,132,372,171
24,132,368,172
25,121,368,171
26,120,358,169
27,134,369,167
28,121,361,170
29,152,370,185
30,134,356,170
31,123,356,171
32,135,366,170
33,129,354,170
34,121,360,169
35,136,366,176
36,135,350,169
37,132,360,170
38,120,352,169
39,120,364,171
40,121,358,171
41,124,360,172
42,141,368,175
43,126,356,171
44,121,356,170
45,121,372,171
46,122,362,171
47,136,362,176
48,122,356,171
49,127,356,169
50,133,352,169
51,136,371,186
52,122,366,171
53,129,360,170
54,122,374,171
55,136,364,171
56,122,367,170
57,126,360,169
58,121,361,169
59,122,357,172
60,122,354,169
61,124,356,171
62,124,358,171
63,127,360,169
64,128,365,176
65,133,359,177
66,132,366,172
67,130,358,171
68,130,366,171
69,122,354,170
70,129,368,176
71,129,354,169
72,125,364,170
73,136,367,180
74,129,360,171
75,122,356,172
76,137,364,169
77,133,364,170
78,131,362,169
79,118,352,169
80,122,368,170
81,121,356,169
82,134,361,170
83,123,356,170
84,133,369,181
85,118,374,169
86,126,378,177
87,133,370,173
88,122,360,171
89,146,362,174
90,128,356,170
91,129,359,171
92,136,368,172
93,131,370,180
94,123,366,171
95,131,358,169
96,121,354,170
97,135,360,169
98,122,368,171
99,150,379,182
100,130,366,179
