test,itlb,dtlb,stlb
1,123,366,174
2,128,352,169
3,132,372,176
4,125,374,177
5,130,366,175
6,130,378,179
7,141,364,176
8,128,354,170
9,137,364,175
10,132,376,172
11,132,368,170
12,132,362,171
13,125,354,170
14,139,368,180
15,129,360,170
16,129,368,175
17,121,364,172
18,127,380,172
19,130,361,178
20,141,364,175
21,130,362,179
22,133,364,175
23,125,368,170
24,131,376,175
25,136,370,170
26,134,354,173
27,123,364,172
28,134,358,171
29,129,366,177
30,125,368,175
31,145,374,185
32,123,362,173
33,126,368,175
34,121,380,172
35,136,362,175
36,122,366,173
37,120,362,171
38,148,366,185
39,137,359,171
40,124,364,169
41,132,358,174
42,135,375,179
43,124,364,171
44,121,376,171
45,129,355,175
46,123,362,174
47,125,378,172
48,137,364,170
49,123,354,172
50,131,368,180
51,128,364,178
52,130,362,173
53,130,358,176
54,132,358,171
55,125,354,171
56,133,366,184
57,132,364,174
58,128,364,175
59,133,364,172
60,131,362,176
61,124,358,170
62,134,370,170
63,133,371,181
64,126,358,174
65,123,366,176
66,130,356,176
67,134,372,169
68,140,365,176
69,127,364,172
70,137,358,174
71,133,356,177
72,126,354,174
73,125,367,172
74,128,370,173
75,124,352,172
76,128,358,178
77,134,358,171
78,137,378,185
79,133,372,176
80,139,386,181
81,136,362,175
82,131,356,174
83,141,368,187
84,136,378,182
85,144,379,179
86,124,356,173
87,132,376,175
88,140,358,176
89,127,362,170
90,120,378,172
91,148,374,177
92,136,362,174
93,120,363,171
94,132,370,180
95,129,368,176
96,142,372,172
97,131,372,169
98,130,360,174
99,128,364,175
100,147,382,182
